city,airport,code,country
Hà Nội,Sân bay Quốc tế Nội Bài,HAN,Việt Nam
TP Hồ Chí Minh,Sân bay Quốc tế Tân Sơn Nhất,SGN,Việt Nam
Đà Nẵng,Sân bay Quốc tế Đà Nẵng,DAD,Việt Nam
Tokyo,Sân bay Haneda,HND,Nhật Bản
Buôn Ma Thuột,Sân bay Buôn Ma Thuột,BMV,Việt Nam
Vinh,Sân bay Vinh,VII,Việt Nam
Phú Quốc,Sân bay Quốc tế Phú Quốc,PQC,Việt Nam
Cam Ranh,Sân bay Quốc tế Cam Ranh,CXR,Việt Nam
Hải Phòng,Sân bay Quốc tế Cát Bi,HPH,Việt Nam
Đà Lạt,Sân bay Liên Khương,DLI,Việt Nam
Huế,Sân bay Quốc tế Phú Bài,HUI,Việt Nam
Quy Nhơn,Sân bay Phù Cát,UIH,Việt Nam
Côn Đảo,Sân bay Côn Đảo,VCS,Việt Nam
Cần Thơ,Sân bay Quốc tế Cần Thơ,VCA,Việt Nam
Điện Biên,Sân bay Điện Biên Phủ,DIN,Việt Nam
Cà Mau,Sân bay Cà Mau,CAH,Việt Nam
Pleiku,Sân bay Pleiku,PXU,Việt Nam
Kiên Giang,Sân bay Rạch Giá,VKG,Việt Nam
Tuy Hòa,Sân bay Đông Tác,TBB,Việt Nam
Đồng Hới,Sân bay Đồng Hới,VDH,Việt Nam
Quảng Ninh,Sân bay Quốc tế Vân Đồn,VDO,Việt Nam
Quảng Ngãi,Sân bay Chu Lai,VCL,Việt Nam
Thanh Hóa,Sân bay Thọ Xuân,THD,Việt Nam
Atlanta,Sân bay Quốc tế Hartsfield–Jackson Atlanta,ATL,Hoa Kỳ
Beijing,Sân bay Quốc tế Thủ đô Bắc Kinh,PEK,Trung Quốc
Dubai,Sân bay Quốc tế Dubai,DXB,Các Tiểu vương quốc Ả Rập Thống nhất
Los Angeles,Sân bay Quốc tế Los Angeles,LAX,Hoa Kỳ
Chicago,Sân bay Quốc tế O'Hare,ORD,Hoa Kỳ
London,Sân bay Heathrow,LHR,Vương Quốc Anh
Hong Kong,Sân bay Quốc tế Hồng Kông,HKG,Hồng Kông
Shanghai,Sân bay Quốc tế Phố Đông Thượng Hải,PVG,Trung Quốc
Paris,Sân bay Quốc tế Charles de Gaulle,CDG,Pháp
Amsterdam,Sân bay Amsterdam Schiphol,AMS,Hà Lan
Dallas,Sân bay Quốc tế Dallas-Fort Worth,DFW,Hoa Kỳ
Guangzhou,Sân bay Quốc tế Bạch Vân Quảng Châu,CAN,Trung Quốc
Frankfurt,Sân bay Quốc tế Frankfurt,FRA,Đức
