Unnamed: 0,origin,destination,depart_time,depart_weekday,duration,arrival_time,arrival_weekday,flight_no,airline_code,airline,economy_fare,business_fare,first_fare
0,HAN,SGN,08:00:00,2,02:10:00,10:10:00,2,QA210,QA,QAirline,1514200,,
1,HAN,SGN,10:55:00,2,02:15:00,13:10:00,2,QA311,QA,QAirline,1514200,,
2,HAN,SGN,19:45:00,2,02:15:00,22:00:00,2,QA309,QA,QAirline,1514200,,
3,HAN,SGN,20:50:00,2,02:15:00,23:05:00,2,QA473,QA,QAirline,1514200,,
4,HAN,SGN,07:20:00,5,02:15:00,09:35:00,5,QA258,QA,QAirline,1314500,,
5,HAN,SGN,19:45:00,5,02:15:00,22:00:00,5,QA202,QA,QAirline,1414500,,
6,HAN,SGN,19:45:00,6,02:15:00,22:00:00,6,QA438,QA,QAirline,1414500,,
7,HAN,SGN,21:40:00,2,02:15:00,23:55:00,2,QA100,QA,QAirline,1414500,,
8,HAN,SGN,21:40:00,5,02:15:00,23:55:00,5,QA428,QA,QAirline,1414500,,
9,HAN,SGN,07:20:00,4,02:15:00,09:35:00,4,QA327,QA,QAirline,1414500,,
10,HAN,SGN,21:40:00,6,02:15:00,23:55:00,6,QA287,QA,QAirline,1414500,,
11,HAN,SGN,07:20:00,3,02:15:00,09:35:00,3,QA311,QA,QAirline,1414500,,
12,HAN,SGN,19:45:00,2,02:15:00,22:00:00,2,QA263,QA,QAirline,1414500,,
13,HAN,SGN,19:00:00,3,02:10:00,21:10:00,3,QA256,QA,QAirline,1454500,,
14,HAN,SGN,19:00:00,6,02:10:00,21:10:00,6,QA482,QA,QAirline,1454500,,
15,HAN,SGN,07:20:00,6,02:15:00,09:35:00,6,QA472,QA,QAirline,1454500,,
16,HAN,SGN,21:40:00,3,02:15:00,23:55:00,3,QA222,QA,QAirline,1454500,,
17,HAN,SGN,19:45:00,3,02:15:00,22:00:00,3,QA166,QA,QAirline,1454500,,
18,HAN,SGN,20:50:00,4,02:15:00,23:05:00,4,QA189,QA,QAirline,1624500,,
19,HAN,SGN,14:30:00,1,02:10:00,16:40:00,1,QA350,QA,QAirline,1686500,,
20,HAN,SGN,14:30:00,4,02:10:00,16:40:00,4,QA173,QA,QAirline,1686500,,
21,HAN,SGN,22:45:00,4,02:15:00,01:00:00,5,QA408,QA,QAirline,1686500,,
22,HAN,SGN,18:20:00,6,02:15:00,20:35:00,6,QA178,QA,QAirline,1686500,,
23,HAN,SGN,20:50:00,1,02:15:00,23:05:00,1,QA110,QA,QAirline,1686500,,
24,HAN,SGN,20:50:00,5,02:15:00,23:05:00,5,QA319,QA,QAirline,1686500,,
25,HAN,DAD,06:05:00,1,02:50:00,08:55:00,1,QA172,QA,QAirline,1386500,,
26,HAN,DAD,08:10:00,6,02:30:00,10:40:00,6,QA195,QA,QAirline,1626500,,
27,HAN,DAD,08:10:00,5,02:30:00,10:40:00,5,QA445,QA,QAirline,1626500,,
28,HAN,DAD,08:10:00,1,02:30:00,10:40:00,1,QA382,QA,QAirline,1626500,,
29,HAN,DAD,21:40:00,0,02:50:00,00:30:00,1,QA205,QA,QAirline,1626500,,
30,HAN,DAD,21:40:00,1,02:50:00,00:30:00,2,QA423,QA,QAirline,1626500,,
31,HAN,DAD,18:45:00,1,02:55:00,21:40:00,1,QA184,QA,QAirline,1626500,,
32,HAN,DAD,20:30:00,0,02:55:00,23:25:00,0,QA163,QA,QAirline,1136500,,
33,HAN,DAD,05:50:00,1,02:45:00,08:35:00,1,QA435,QA,QAirline,1326500,,
34,HAN,DAD,05:50:00,6,02:45:00,08:35:00,6,QA179,QA,QAirline,1326500,,
35,HAN,DAD,05:50:00,0,02:45:00,08:35:00,0,QA187,QA,QAirline,1326500,,
36,HAN,DAD,05:50:00,4,02:45:00,08:35:00,4,QA200,QA,QAirline,1326500,,
37,HAN,DAD,20:30:00,1,02:55:00,23:25:00,1,QA294,QA,QAirline,1326500,,
38,HAN,DAD,08:10:00,4,02:30:00,10:40:00,4,QA119,QA,QAirline,1226500,,
39,HAN,DAD,21:40:00,4,02:50:00,00:30:00,5,QA444,QA,QAirline,135500,,
40,HAN,DAD,20:00:00,1,02:30:00,22:30:00,1,QA323,QA,QAirline,1253400,,
41,HAN,DAD,20:30:00,6,02:55:00,23:25:00,6,QA306,QA,QAirline,1253400,,
42,HAN,DAD,06:05:00,4,02:50:00,08:55:00,4,QA236,QA,QAirline,1253400,,
43,HAN,DAD,09:35:00,5,02:50:00,12:25:00,5,QA125,QA,QAirline,1253400,,
44,HAN,DAD,09:35:00,6,02:50:00,12:25:00,6,QA451,QA,QAirline,1253400,,
45,HAN,DAD,18:45:00,6,02:55:00,21:40:00,6,QA336,QA,QAirline,1253400,,
46,HAN,DAD,18:45:00,4,02:55:00,21:40:00,4,QA449,QA,QAirline,1253400,,
47,HAN,DAD,18:45:00,0,02:55:00,21:40:00,0,QA241,QA,QAirline,1253400,,
48,HAN,DAD,20:30:00,5,02:55:00,23:25:00,5,QA455,QA,QAirline,1103300,,
49,SGN,HAN,13:45:00,1,02:50:00,16:35:00,1,QA174,QA,QAirline,1782900,11891.0,
50,SGN,HAN,19:55:00,1,02:50:00,22:45:00,1,QA130,QA,QAirline,1782900,11891.0,
51,SGN,HAN,08:45:00,3,02:40:00,11:25:00,3,QA418,QA,QAirline,1782900,,
52,SGN,HAN,08:45:00,4,02:40:00,11:25:00,4,QA162,QA,QAirline,1782900,,
53,SGN,HAN,08:45:00,5,02:40:00,11:25:00,5,QA463,QA,QAirline,1782900,,
54,SGN,HAN,08:45:00,6,02:40:00,11:25:00,6,QA257,QA,QAirline,1782900,,
55,SGN,HAN,18:25:00,4,02:45:00,21:10:00,4,QA389,QA,QAirline,1782900,,
56,SGN,HAN,18:25:00,5,02:45:00,21:10:00,5,QA363,QA,QAirline,1782900,,
57,SGN,HAN,18:25:00,1,02:45:00,21:10:00,1,QA166,QA,QAirline,1782900,,
58,SGN,HAN,19:55:00,2,02:50:00,22:45:00,2,QA235,QA,QAirline,1782900,11891.0,30449.0
59,SGN,HAN,13:45:00,2,02:50:00,16:35:00,2,QA268,QA,QAirline,1782900,13090.0,
